timestamp,status,doi,pmid,title,journal,year,topic,pdf_path,source_url,error,drive_file_id
2026-04-08T15:47:09,SKIPPED_NOT_OA,10.1038/s41586-020-2649-2,,Array programming with NumPy,Nature,2020,organoid,,,No OA PDF URL from Unpaywall,
2026-04-08T15:47:35,ERROR,10.1371/journal.pone.0000308,,,,,test,,,"HTTPSConnectionPool(host='api.crossref.org', port=443): Max retries exceeded with url: /works/10.1371/journal.pone.0000308 (Caused by NameResolutionError(""HTTPSConnection(host='api.crossref.org', port=443): Failed to resolve 'api.crossref.org' ([Errno 8] nodename nor servname provided, or not known)""))",
2026-04-08T15:48:12,SKIPPED_DUPLICATE,10.1371/journal.pone.0000308,,Sharing Detailed Research Data Is Associated with Increased Citation Rate,PLoS ONE,2007,test,,,,
2026-04-08T15:48:50,SKIPPED_NOT_OA,10.1371/journal.pone.0000308,,Sharing Detailed Research Data Is Associated with Increased Citation Rate,PLoS ONE,2007,test,,,No OA PDF URL from Unpaywall,
2026-04-08T15:49:08,SKIPPED_NOT_OA,10.1371/journal.pone.0000308,,Sharing Detailed Research Data Is Associated with Increased Citation Rate,PLoS ONE,2007,test,,,No OA PDF URL from Unpaywall,
2026-04-08T15:52:25,SKIPPED_NOT_OA,10.1038/s41586-020-2649-2,,Array programming with NumPy,Nature,2020,organoid,,,No OA PDF URL from Unpaywall,
2026-04-08T15:52:28,SKIPPED_NOT_OA,10.1007/s13197-020-04355-z,32728272,"Effect of apple pomace on nutrition, rheology of dough and cookies quality.",Journal of food science and technology,2020,tissue-culture,,,No OA PDF URL from Unpaywall,
2026-04-08T15:57:00,ERROR,10.1371/journal.pone.0001000,,,,,oa-test,,,"HTTPSConnectionPool(host='api.crossref.org', port=443): Max retries exceeded with url: /works/10.1371/journal.pone.0001000 (Caused by NameResolutionError(""HTTPSConnection(host='api.crossref.org', port=443): Failed to resolve 'api.crossref.org' ([Errno 8] nodename nor servname provided, or not known)""))",
2026-04-08T15:57:11,ERROR,10.1371/journal.pone.0263309,,,,,oa-test,,,"HTTPSConnectionPool(host='api.crossref.org', port=443): Max retries exceeded with url: /works/10.1371/journal.pone.0263309 (Caused by NameResolutionError(""HTTPSConnection(host='api.crossref.org', port=443): Failed to resolve 'api.crossref.org' ([Errno 8] nodename nor servname provided, or not known)""))",
2026-04-08T15:57:21,ERROR,10.7717/peerj.4375,,,,,oa-test,,,"HTTPSConnectionPool(host='api.crossref.org', port=443): Max retries exceeded with url: /works/10.7717/peerj.4375 (Caused by NameResolutionError(""HTTPSConnection(host='api.crossref.org', port=443): Failed to resolve 'api.crossref.org' ([Errno 8] nodename nor servname provided, or not known)""))",
2026-04-08T15:57:31,ERROR,10.7554/eLife.01567,,,,,oa-test,,,"HTTPSConnectionPool(host='api.crossref.org', port=443): Max retries exceeded with url: /works/10.7554/eLife.01567 (Caused by NameResolutionError(""HTTPSConnection(host='api.crossref.org', port=443): Failed to resolve 'api.crossref.org' ([Errno 8] nodename nor servname provided, or not known)""))",
2026-04-08T15:57:41,ERROR,10.1186/s12967-023-04495-5,,,,,oa-test,,,"HTTPSConnectionPool(host='api.crossref.org', port=443): Max retries exceeded with url: /works/10.1186/s12967-023-04495-5 (Caused by NameResolutionError(""HTTPSConnection(host='api.crossref.org', port=443): Failed to resolve 'api.crossref.org' ([Errno 8] nodename nor servname provided, or not known)""))",
2026-04-08T15:58:06,SKIPPED_NOT_OA,10.1371/journal.pone.0001000,,Membrane Type-1 Matrix Metalloproteinases and Tissue Inhibitor of Metalloproteinases-2 RNA Levels Mimic Each Other during Xenopus laevis Metamorphosis,PLoS ONE,2007,oa-test,,,No OA PDF URL from Unpaywall,
2026-04-08T15:58:11,SKIPPED_NOT_OA,10.1371/journal.pone.0263309,,Large household reduces dementia mortality: A cross-sectional data analysis of 183 populations,PLOS ONE,2022,oa-test,,,No OA PDF URL from Unpaywall,
2026-04-08T15:58:12,SKIPPED_NOT_OA,10.7717/peerj.4375,,The state of OA: a large-scale analysis of the prevalence and impact of Open Access articles,PeerJ,2018,oa-test,,,No OA PDF URL from Unpaywall,
2026-04-08T15:58:12,SKIPPED_NOT_OA,10.7554/elife.01567,,Automated quantitative histology reveals vascular morphodynamics during Arabidopsis hypocotyl secondary growth,eLife,2014,oa-test,,,No OA PDF URL from Unpaywall,
2026-04-08T15:58:13,SKIPPED_NO_METADATA,10.1186/s12967-023-04495-5,,,,,oa-test,,,Could not resolve metadata,
2026-04-08T15:59:45,SKIPPED_NOT_OA,10.1371/journal.pone.0001000,,Membrane Type-1 Matrix Metalloproteinases and Tissue Inhibitor of Metalloproteinases-2 RNA Levels Mimic Each Other during Xenopus laevis Metamorphosis,PLoS ONE,2007,oa-test,,,No PDF URL from Unpaywall/Crossref,
2026-04-08T15:59:49,SKIPPED_NOT_OA,10.1371/journal.pone.0263309,,Large household reduces dementia mortality: A cross-sectional data analysis of 183 populations,PLOS ONE,2022,oa-test,,,No PDF URL from Unpaywall/Crossref,
2026-04-08T15:59:50,DRYRUN_READY,10.7717/peerj.4375,,The state of OA: a large-scale analysis of the prevalence and impact of Open Access articles,PeerJ,2018,oa-test,downloads/oa-test/2018/Piwowar_2018_PeerJ_The state of OA_ a large-scale analysis of the prevalence and impact o.pdf,https://peerj.com/articles/4375.pdf,,
2026-04-08T15:59:51,DRYRUN_READY,10.7554/elife.01567,,Automated quantitative histology reveals vascular morphodynamics during Arabidopsis hypocotyl secondary growth,eLife,2014,oa-test,downloads/oa-test/2014/Sankar_2014_eLife_Automated quantitative histology reveals vascular morphodynamics durin.pdf,https://cdn.elifesciences.org/articles/01567/elife-01567-v1.pdf,,
2026-04-08T15:59:52,SKIPPED_NO_METADATA,10.1186/s12967-023-04495-5,,,,,oa-test,,,Could not resolve metadata,
2026-04-08T16:00:06,DOWNLOADED,10.7717/peerj.4375,,The state of OA: a large-scale analysis of the prevalence and impact of Open Access articles,PeerJ,2018,oa-test,downloads/oa-test/2018/Piwowar_2018_PeerJ_The state of OA_ a large-scale analysis of the prevalence and impact o.pdf,https://peerj.com/articles/4375.pdf,,
2026-04-08T16:00:15,DOWNLOADED,10.7554/elife.01567,,Automated quantitative histology reveals vascular morphodynamics during Arabidopsis hypocotyl secondary growth,eLife,2014,oa-test,downloads/oa-test/2014/Sankar_2014_eLife_Automated quantitative histology reveals vascular morphodynamics durin.pdf,https://cdn.elifesciences.org/articles/01567/elife-01567-v1.pdf,,
2026-04-08T19:52:34,SKIPPED_DUPLICATE,10.7717/peerj.4375,,The state of OA: a large-scale analysis of the prevalence and impact of Open Access articles,PeerJ,2018,oauth-test,,,,
2026-04-08T19:52:35,SKIPPED_DUPLICATE,10.7554/elife.01567,,Automated quantitative histology reveals vascular morphodynamics during Arabidopsis hypocotyl secondary growth,eLife,2014,oauth-test,,,,
2026-04-08T20:15:37,DOWNLOADED,10.1038/s41586-020-2649-2,,Array programming with NumPy,Nature,2020,organoid,downloads/organoid/2020/Harris_2020_Nature_Array programming with NumPy.pdf,https://www.nature.com/articles/s41586-020-2649-2.pdf,,
2026-04-08T20:15:42,ERROR,,32728272,Another result,,,tissue-culture,,,"Not a PDF response (content-type=text/html; charset=utf-8, final_url=https://link.springer.com/article/10.1007/s13197-020-04355-z)",
2026-04-08T23:13:28,SKIPPED_DUPLICATE,10.1038/s41586-020-2649-2,,Array programming with NumPy,Nature,2020,organoid,,,,
2026-04-08T23:13:29,ERROR,,32728272,Single-cell transcriptome profiling of human pancreas development,,,pancreas,,,"Not a PDF response (content-type=text/html; charset=utf-8, final_url=https://link.springer.com/article/10.1007/s13197-020-04355-z)",
2026-04-08T23:13:37,SKIPPED_NOT_OA,10.1108/rpj-10-2018-0264,,3D bioprinting of tissue engineering scaffold for cell culture,Rapid Prototyping Journal,2020,tissue-engineering,,,No PDF URL from Unpaywall/Crossref,
2026-04-08T23:13:52,SKIPPED_DUPLICATE,10.7717/peerj.4375,,The state of OA: a large-scale analysis of the prevalence and impact of Open Access articles,PeerJ,2018,organoid,,,,
2026-04-08T23:13:53,SKIPPED_DUPLICATE,10.7554/elife.01567,,Automated quantitative histology reveals vascular morphodynamics during Arabidopsis hypocotyl secondary growth,eLife,2014,vascular,,,,
2026-04-08T23:17:55,ERROR,10.1186/s12870-025-06422-z,,,,,manual,,,"HTTPSConnectionPool(host='api.crossref.org', port=443): Max retries exceeded with url: /works/10.1186/s12870-025-06422-z (Caused by NameResolutionError(""HTTPSConnection(host='api.crossref.org', port=443): Failed to resolve 'api.crossref.org' ([Errno 8] nodename nor servname provided, or not known)""))",
2026-04-08T23:18:19,DOWNLOADED,10.1186/s12870-025-06422-z,,In vitro propagation of Stephania pierrei diels and exploration of its potential as sustainable phytochemical production from tuber and callus,BMC Plant Biology,2025,manual,downloads/manual/2025/Laksana_2025_BMC Plant Biology_In vitro propagation of Stephania pierrei diels and exploration of its.pdf,https://link.springer.com/content/pdf/10.1186/s12870-025-06422-z.pdf,,1suYvHeAg7OnGV6u5ySRrQ4sHuMpaZ3Gt
2026-04-08T23:25:31,SKIPPED_DUPLICATE,10.7717/peerj.4375,,The state of OA: a large-scale analysis of the prevalence and impact of Open Access articles,PeerJ,2018,organoid,,,,
2026-04-08T23:25:35,SKIPPED_DUPLICATE,10.7554/elife.01567,,Automated quantitative histology reveals vascular morphodynamics during Arabidopsis hypocotyl secondary growth,eLife,2014,vascular,,,,
2026-04-08T23:35:28,SKIPPED_DUPLICATE,10.1186/s12870-025-06422-z,,In vitro propagation of Stephania pierrei diels and exploration of its potential as sustainable phytochemical production from tuber and callus,BMC Plant Biology,2025,manual,,,,
2026-04-08T23:39:06,SKIPPED_DUPLICATE,10.1186/s12870-025-06422-z,,In vitro propagation of Stephania pierrei diels and exploration of its potential as sustainable phytochemical production from tuber and callus,BMC Plant Biology,2025,manual,,,,
2026-04-08T23:40:00,SKIPPED_DUPLICATE,10.1186/s12870-025-06422-z,,In vitro propagation of Stephania pierrei diels and exploration of its potential as sustainable phytochemical production from tuber and callus,BMC Plant Biology,2025,manual,,,,
2026-04-08T23:40:03,SKIPPED_DUPLICATE,10.1186/s12870-025-06422-z,,In vitro propagation of Stephania pierrei diels and exploration of its potential as sustainable phytochemical production from tuber and callus,BMC Plant Biology,2025,manual,,,,
2026-04-08T23:44:27,DOWNLOADED,10.1186/s12870-026-08246-x,,Integrated media and plant growth regulators comparative evaluation for enhanced in vitro propagation and acclimatization of Selenicereus Costaricensis,BMC Plant Biology,2026,manual,downloads/manual/2026/Ahmed_2026_BMC Plant Biology_Integrated media and plant growth regulators comparative evaluation fo.pdf,https://link.springer.com/content/pdf/10.1186/s12870-026-08246-x.pdf,,1M4iMNCvRryKkptFaaQjVPEc34aZzqrWQ
2026-04-08T23:53:48,DOWNLOADED,10.1186/s12870-024-06027-y,,Optimization of in vitro propagation and virus eradication using meristem culture and thermotherapy in two geranium species Pelargonium X hortorum (‘Zonal’) and Pelargonium × domesticum (‘Regal’),BMC Plant Biology,2025,tissue-culture,downloads/tissue-culture/2025/Alavijeh_2025_BMC Plant Biology_Optimization of in vitro propagation and virus eradication using meris.pdf,https://link.springer.com/content/pdf/10.1186/s12870-024-06027-y.pdf,,1jcr0w4uUN_eRc9qhD41jZ_pDGVr74cDX
